file_paths,event_title,event_category,event_start,event_end,instructor1,url1_instr,instructor2,url2_instr,instructor3,url3_instr,instructor4,url4_instr,instructor5,url5_instr,instructor6,url6_instr,instructor7,url7_instr,instructor8,url8_instr,instructor9,url9_instr,helper1,url_help1,helper2,url_help2,helper3,url_help3,helper4,url_help4,helper5,url_help5,presenter1,url_pres1,presenter2,url_pres2,presenter3,url_pres3,presenter4,url_pres4,presenter5,url_pres5,presenter6,url_pres6,presenter7,url_pres7,presenter8,url_pres8,presenter9,url_pres9,presenter10,url_pres10,host1,url_host1,host2,url_host2,host3,url_host3,host4,url_host4,host5,url_host5,organizers1,url1_org,organizers2,url2_org,organizers3,url3_org,organizers4,url4_org,organizers5,url5_org,organizers6,url6_org,organizers7,url7_org,organizers8,url8_org,contact_email
events/events/20241028_metarep_2024_on_metascience_and_replicability_in_the_social_behavioral_and_cognitive_sciences_[more].qmd,"""META-REP 2024Â on Meta-Science and Replicability in the Social, Behavioral, and Cognitive Sciences"" [more...]",Conference,28-Oct-24,31-Oct-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiona Fidler,,Daniël Lakens,,,,,,,,,,,,,,,,,,META-REP consortium,,Deutsche Forschungsgemeinschaft (DFG),,German Reproducibility Network (GRN),,,,,,Dr. Johannes Ziegler,,,,,,,,,,,,,,,,meta-rep.coordination@psy.lmu.de 
events/events/20241122_epistemic_foundations_and_limitations_of_statistics_and_science__explaining_the_replication_crisis.qmd,"""Epistemic Foundations and Limitations of Statistics and Science - Explaining the Replication Crisis?""",Symposium,22-Nov-24,22-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabina Leonelli,,Uwe Saint-Mont,,Walter Radermacher ,,Rudolf Seising,,Michael Schomaker ,,,,,,,,,,,,Open Science Initiative in Statistics (OSIS),,Munich Center for Machine Learning (MCML),,,,,,,,Patrick Schenk,,Moritz Herrmann,,,,,,,,,,,,,,epix.workshop@stat.uni-muenchen.de.
events/events/20241125_lmu_wikipedia_editathon.qmd,"""LMU Wikipedia Editathon""",Hacky Hour,25-Nov-24,25-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,Wikipedia Munich (WikiMUC),,,,,,,,Max Kristen,,,,,,,,,,,,,,,,wikimuc@wikipedia.de
events/events/20241127_insights_into_open_science_replicability_data_sharing_and_questionable_research_practices_in_the_field_of_medicine.qmd,"Workshop ""Navigating the Landscape of Scientific Integrity: Insights into open science, replicability, data sharing and questionable research practices in the field of medicine""",Symposium,27-Nov-24,27-Nov-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim Morris,,Laure Wynants,,Balazs Aczel,,Leonhard Held,,Willi Sauerbrei,,Sarah Friedrich,,Ulrich Mansmann,,,,,,,,LMU Center for Advanced Studies (CAS),,,,,,,,,,Prof. Dr. Anne-Laure Boulesteix,,Dr. Sabine Hoffmann,,,,,,,,,,,,,,boulesteix@ibe.med.uni-muenchen.de
events/events/20250324_software_carpentry__r_flavored__philologicum.qmd,"""Software Carpentry - R flavored - Philologicum""",Workshop,24-Mar-25,24-Mar-25,Laura Meier,,Maximilian Frank,,Florian Kohrt,,,,,,,,,,,,,,Pat Callahan,,Sarah von Grebmer zu Wolfsthurn,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20250624_von_deal_zu_diamond.qmd,Von "DEAL" zu "Diamond"?,Symposium,24-Jun-25,24-Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veronika Reinertshofer ,,Prof. Markus Gebhardt,,Prof. Björn Brembs,,Prof. Felix Schönbrodt ,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Felix Schönbrodt ,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20250721_helmholtz_open_science_strategy.qmd,"""Helmholtz open science strategy""",Lecture,21-Jul-25,21-Jul-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Mathijs Vleugel,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20250807_data_under_threat__join_the_data_rescue_hackathon.qmd,Data Under Threat â€” Join the Data Rescue Hackathon,Hackathon,7-Aug-25,7-Aug-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrik Schönemann,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Prof. Felix Schönbrodt ,,,,,,,,,,,,,,,,felix.schoenbrodt@psy.lmu.de
events/events/20250915_lmu_open_science_summer_school_2025.qmd,LMU Open Science Summer School 2025,Summer School,15-Sep-25,15-Sep-25,Florian Kohrt,,Laura Meier,,Reema Gupta,,Pat Callahan,,Dr. Sarah von Grebmer,,Dr. Malika Ihle,,,,,,,,,,,,,,,,,,Prof. Dr. Richard McElreath,,Vera Karlbauer,,Dr. Jonas Hagenberg,,Dr. Tim Errington,,Dr. Barbara Beege,,Franziska Schrade,,,,,,,,,,LMU Open Science Center,,LMU University Library (UB),,,,,,,,Dr. Malika Ihle,,Dr. Sarah von Grebmer zu Wolfsthurn,,,,,,,,,,,,,,osc@lmu.de
events/events/20251114_data_and_ai_ethics.qmd,Data & AI Ethics,Conference,14-Nov-25,14-Nov-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Ethics Initiative at the LMU Department of Statistics,,Munich Center for Machine Learning (MCML),,Open Science Initiative in Statistics (OSIS),,,,,,Patrick Schenk,,Moritz Herrmann,,,,,,,,,,,,,,osis@stat.uni-muenchen.de
events/events/20260209_love_data_week_2026.qmd,Love Data Week: a series of events on research data management,Event,9-Feb-26,13-Feb-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Malika Ihle,,Laura Kropf,,Dr. Florian Schreck,,Dr. Martin Spenger,,Laure Sigalla,,,,,,,,,,,,LMU University Library (UB),,LMU Open Science Center,,LMU Research Funding Unit,,,,,,,,,,,,,,,,,,,,,,kontakt@forschungsdaten.info
